filename,network,station,channel,trace_id,start_time,end_time,duration,sampling_rate,samples
GE.FAKI.HH.gfz2009bjnh.mseed,GE,FAKI,HHE,GE.FAKI..HHE,2009-01-20T10:47:11.778403,2009-01-20T10:52:12.588403,300.81,100.0,30082
GE.FAKI.HH.gfz2009bjnh.mseed,GE,FAKI,HHN,GE.FAKI..HHN,2009-01-20T10:47:11.778403,2009-01-20T10:52:12.588403,300.81,100.0,30082
GE.FAKI.HH.gfz2009bjnh.mseed,GE,FAKI,HHZ,GE.FAKI..HHZ,2009-01-20T10:47:11.778403,2009-01-20T10:52:12.588403,300.81,100.0,30082
GE.LUWI.BH.gfz2009floe.mseed,GE,LUWI,BHE,GE.LUWI..BHE,2009-03-19T12:31:33.869538,2009-03-19T12:36:34.659538,300.79,100.0,30080
GE.LUWI.BH.gfz2009floe.mseed,GE,LUWI,BHN,GE.LUWI..BHN,2009-03-19T12:31:33.869538,2009-03-19T12:36:34.659538,300.79,100.0,30080
GE.LUWI.BH.gfz2009floe.mseed,GE,LUWI,BHZ,GE.LUWI..BHZ,2009-03-19T12:31:33.869538,2009-03-19T12:36:34.659538,300.79,100.0,30080
GE.BBJI.SH.gfz2018bubc.mseed,GE,BBJI,SHE,GE.BBJI..SHE,2018-01-26T04:48:22.508393,2018-01-26T04:53:23.318393,300.81,100.0,30082
GE.BBJI.SH.gfz2018bubc.mseed,GE,BBJI,SHN,GE.BBJI..SHN,2018-01-26T04:48:22.508394,2018-01-26T04:53:23.318394,300.81,100.0,30082
GE.BBJI.SH.gfz2018bubc.mseed,GE,BBJI,SHZ,GE.BBJI..SHZ,2018-01-26T04:48:22.508393,2018-01-26T04:53:23.318393,300.81,100.0,30082
GE.GSI.BH.gfz2021jpkx.mseed,GE,GSI,BHE,GE.GSI..BHE,2021-05-17T12:21:53.519538,2021-05-17T12:26:54.309538,300.79,100.0,30080
GE.GSI.BH.gfz2021jpkx.mseed,GE,GSI,BHN,GE.GSI..BHN,2021-05-17T12:21:53.519538,2021-05-17T12:26:54.309538,300.79,100.0,30080
GE.GSI.BH.gfz2021jpkx.mseed,GE,GSI,BHZ,GE.GSI..BHZ,2021-05-17T12:21:53.519539,2021-05-17T12:26:54.309539,300.79,100.0,30080
GE.BKNI.SH.gfz2010cmgt.mseed,GE,BKNI,SHE,GE.BKNI..SHE,2010-02-05T04:38:53.768393,2010-02-05T04:43:54.558393,300.79,100.0,30080
GE.BKNI.SH.gfz2010cmgt.mseed,GE,BKNI,SHN,GE.BKNI..SHN,2010-02-05T04:38:53.768393,2010-02-05T04:43:54.558393,300.79,100.0,30080
GE.BKNI.SH.gfz2010cmgt.mseed,GE,BKNI,SHZ,GE.BKNI..SHZ,2010-02-05T04:38:53.768393,2010-02-05T04:43:54.558393,300.79,100.0,30080
GE.LHMI.BL.gfz2013urpd.mseed,GE,LHMI,BLE,GE.LHMI..BLE,2013-10-22T05:40:30.169539,2013-10-22T05:45:30.969539,300.8,100.0,30081
GE.LHMI.BL.gfz2013urpd.mseed,GE,LHMI,BLN,GE.LHMI..BLN,2013-10-22T05:40:30.169539,2013-10-22T05:45:30.969539,300.8,100.0,30081
GE.LHMI.BL.gfz2013urpd.mseed,GE,LHMI,BLZ,GE.LHMI..BLZ,2013-10-22T05:40:30.169539,2013-10-22T05:45:30.969539,300.8,100.0,30081
GE.SMRI.HL.gfz2009bbud.mseed,GE,SMRI,HLE,GE.SMRI..HLE,2009-01-16T05:04:44.248393,2009-01-16T05:09:45.058393,300.81,100.0,30082
